CODICE_ISTAT,civico_geocodificato,fuori_limite_comunale,totale,civici_da_altri_comuni
004088,449,0,449,0
004089,8422,1,8423,4
004090,1352,0,1352,0
004091,1682,0,1682,14
004092,1371,0,1371,0
004094,270,0,270,0
004096,1240,0,1240,1
004097,423,0,423,0
004100,638,0,638,0
004101,1348,0,1348,0
004103,202,1,203,4
004104,36,0,36,0
004106,351,0,351,0
004107,454,0,454,0
004108,1,0,1,0
004109,317,0,317,0
004112,353,0,353,0
004113,1,0,1,31
004114,1064,1,1065,6
004115,894,0,894,3
004116,2248,1,2249,0
004117,1589,0,1589,12
004119,360,0,360,0
004120,262,0,262,0
004121,462,0,462,0
004122,806,53,859,0
004124,503,0,503,0
004125,4,0,4,0
004126,803,2,805,0
004127,161,3,164,0
004128,971,0,971,6
004129,343,0,343,0
004130,9865,1,9866,30
004131,817,0,817,0
004132,1308,0,1308,0
004136,320,9,329,0
004137,450,10,460,25
004138,333,0,333,3
004139,768,0,768,0
004140,1087,0,1087,0
004141,347,4,351,0
004143,1496,0,1496,0
004144,875,1,876,3
004146,542,0,542,0
004152,842,0,842,0
004153,547,0,547,0
004154,680,0,680,0
004156,639,1,640,0
004157,2187,0,2187,0
004158,384,1,385,0
004160,281,0,281,0
004161,6,0,6,0
004162,184,1,185,0
004163,3244,0,3244,16
004164,543,0,543,0
004166,1356,0,1356,0
004167,196,0,196,3
004168,447,10,457,0
004169,841,0,841,0
004172,891,0,891,1
004173,466,0,466,0
004174,669,0,669,0
004175,433,1,434,1
004178,507,0,507,0
004179,4284,1,4285,0
004180,2828,0,2828,0
004181,621,0,621,0
004182,288,0,288,0
004184,81,0,81,0
004185,1439,0,1439,0
004186,1065,0,1065,3
004187,2413,1,2414,4
004189,1169,0,1169,0
004190,1511,76,1587,0
004191,606,0,606,0
004192,2,0,2,0
004194,13,0,13,1
004195,354,0,354,3
004196,326,38,364,11
004197,7,0,7,0
004201,948,0,948,0
004202,524,0,524,1
004203,5047,0,5047,23
004204,132,76,208,1
004205,3424,0,3424,1
004207,991,0,991,0
004209,1961,0,1961,0
004211,1167,0,1167,0
004213,164,0,164,0
004214,761,0,761,0
004215,8987,69,9056,1
004216,206,0,206,0
004217,1438,0,1438,0
004219,400,0,400,4
004220,307,0,307,1
004221,399,0,399,0
004224,382,0,382,0
004225,898,14,912,0
004226,355,0,355,0
004227,579,0,579,0
004230,404,27,431,0
004232,1153,0,1153,1
004234,688,0,688,1
004237,1288,0,1288,2
004239,9,0,9,0
004240,1773,17,1790,0
004241,1122,0,1122,0
004242,1459,0,1459,1
004243,128,0,128,2
004245,2557,0,2557,4
004246,421,0,421,0
004247,1584,0,1584,116
004248,958,0,958,6
005001,1757,0,1757,0
005002,339,0,339,0
005004,187,0,187,0
005005,25267,1,25268,9
005006,235,0,235,0
005008,390,0,390,0
005009,316,0,316,0
005013,1084,0,1084,0
005014,43,0,43,0
005016,501,0,501,0
005018,433,0,433,0
005019,206,0,206,0
005022,2352,0,2352,0
005023,1129,0,1129,0
005024,476,0,476,0
005025,1872,0,1872,0
005026,212,0,212,0
005027,188,0,188,0
005028,1026,0,1026,0
005030,654,0,654,0
005031,2119,0,2119,0
005032,332,1,333,0
005034,267,0,267,0
005035,213,0,213,0
005036,504,0,504,0
005037,438,0,438,0
005040,850,0,850,0
005042,1364,0,1364,0
005045,232,0,232,0
005046,313,0,313,0
005050,3187,0,3187,0
005054,571,0,571,0
005058,1,0,1,0
005062,265,0,265,0
005065,6,0,6,0
005066,1382,0,1382,0
005067,648,0,648,0
005068,1095,0,1095,0
005069,1984,0,1984,2
005070,487,0,487,0
005072,311,0,311,0
005073,724,0,724,28
005076,1469,0,1469,0
005080,5411,0,5411,0
005081,114,0,114,0
005083,412,0,412,0
005084,456,0,456,0
005085,212,0,212,0
005086,457,0,457,0
005087,1004,0,1004,1
005089,907,0,907,0
005091,242,0,242,0
005092,475,0,475,0
005093,837,0,837,0
005096,131,0,131,0
005097,4378,0,4378,0
005099,63,0,63,0
005100,775,0,775,0
005101,543,0,543,0
005107,158,0,158,0
005108,1383,0,1383,0
005109,675,0,675,0
005113,752,0,752,0
005114,274,0,274,0
005115,667,0,667,0
005117,1441,0,1441,0
005118,2229,0,2229,1
005120,564,0,564,0
005121,1725,0,1725,0
005122,403,0,403,0
006001,10320,0,10320,7
006003,27340,0,27340,94
006004,743,0,743,1
006005,612,0,612,0
006007,450,0,450,0
006010,325,1,326,0
006011,1364,0,1364,0
006012,1029,22,1051,12
006013,1319,0,1319,0
006014,331,2,333,0
006017,1686,0,1686,0
006018,2427,0,2427,0
006019,377,0,377,1
006021,2279,0,2279,14
006022,817,1,818,0
006025,1141,0,1141,0
006026,867,0,867,0
006027,883,0,883,0
006028,787,0,787,0
006029,1468,5,1473,7
006031,251,1,252,0
006032,866,27,893,0
006033,1323,0,1323,2
006034,757,0,757,0
006036,893,0,893,1
006037,1053,0,1053,0
006039,10850,0,10850,1
006040,569,0,569,0
006041,208,0,208,0
006043,2532,0,2532,0
006044,1038,0,1038,9
006046,207,0,207,0
