CODICE_ISTAT,civico_geocodificato,fuori_limite_comunale,totale,civici_da_altri_comuni
004248,934,24,958,6
005001,1757,0,1757,0
005002,339,0,339,2
005004,187,0,187,0
005005,25205,63,25268,51
005008,388,0,388,1
005009,310,6,316,3
005013,1084,0,1084,1
005014,43,0,43,0
005018,433,0,433,2
005019,206,0,206,5
005023,1129,0,1129,1
005024,476,0,476,0
005025,1815,57,1872,2
005026,212,0,212,0
005030,653,0,653,3
005032,332,1,333,1
005034,267,0,267,8
005036,504,0,504,0
005040,850,0,850,1
005042,1364,0,1364,1
005045,232,0,232,0
005054,571,0,571,1
005058,1,0,1,12
005062,265,0,265,1
005065,6,0,6,3
005066,1382,0,1382,2
005067,43,0,43,1
005070,487,0,487,3
005073,663,61,724,67
005076,1456,13,1469,15
005084,7,0,7,2
005085,202,10,212,0
005087,1004,0,1004,28
005089,1,0,1,1
005091,242,0,242,15
005092,475,0,475,2
005093,837,0,837,2
005096,131,0,131,4
005097,4378,0,4378,5
005099,63,0,63,0
005100,775,0,775,6
005107,158,0,158,0
005108,3,0,3,2
005109,675,0,675,1
005113,752,0,752,0
005114,274,0,274,1
005117,1441,0,1441,2
005118,2229,0,2229,16
005120,564,0,564,1
005121,41,0,41,1
006001,10305,0,10305,9
006003,7890,110,8000,217
006004,743,0,743,2
006005,611,0,611,1
006007,450,0,450,0
006011,1364,0,1364,1
006017,1686,0,1686,0
006018,2427,0,2427,21
006021,2279,0,2279,14
006022,817,1,818,11
006027,883,0,883,16
006028,787,0,787,7
006029,1472,0,1472,41
006034,757,0,757,6
006036,885,8,893,3
006039,10709,141,10850,67
006040,569,0,569,0
006041,208,0,208,1
006043,2532,0,2532,6
006044,1039,0,1039,6
006047,3132,31,3163,22
006052,680,0,680,2
006054,365,0,365,0
006055,375,0,375,1
006056,352,0,352,1
006061,139,0,139,0
006065,187,0,187,0
006066,261,1,262,1
006070,1,0,1,0
006073,1192,0,1192,35
006074,782,28,810,2
006075,22,0,22,10
006078,710,0,710,1
006079,800,0,800,0
006082,323,0,323,1
006084,547,0,547,0
006086,3,0,3,0
006088,12,0,12,0
006090,162,0,162,1
006091,954,6,960,3
006092,1075,0,1075,4
006093,180,0,180,0
006102,477,0,477,2
006104,717,0,717,2
006105,387,0,387,0
006106,413,0,413,5
006110,99,0,99,14
006114,1948,0,1948,21
006115,1034,0,1034,50
006119,484,0,484,1
006120,392,0,392,9
006121,5325,28,5353,4
006122,768,14,782,3
006123,1226,0,1226,3
006124,70,0,70,17
006126,807,0,807,67
006128,231,0,231,0
006129,641,0,641,1
006131,331,0,331,1
006133,1259,0,1259,4
006134,629,1,630,0
006138,2715,45,2760,4
006139,378,0,378,0
006142,22,0,22,0
006143,686,1,687,2
006144,1269,0,1269,1
006145,384,0,384,0
006150,538,0,538,9
006157,545,148,693,6
006160,2169,24,2193,2
006162,1507,94,1601,9
006163,1173,32,1205,1
006167,1866,0,1866,46
006169,1001,0,1001,1
006170,622,0,622,1
006171,559,0,559,2
006172,689,0,689,2
006173,984,0,984,1
006174,27,0,27,12
006176,717,0,717,1
006178,875,0,875,7
006182,837,0,837,1
006183,562,119,681,1
006185,2,0,2,7
006186,393,0,393,2
006187,605,0,605,3
007008,2,0,2,0
007009,262,0,262,0
007012,3,0,3,0
007013,1712,0,1712,0
007017,5,0,5,0
007018,1087,0,1087,0
007020,2,0,2,0
007021,1731,0,1731,0
007027,387,0,387,0
007031,2102,0,2102,0
007038,554,0,554,0
007040,15,0,15,0
007041,1054,0,1054,0
007054,1207,0,1207,0
007055,688,0,688,0
007058,1478,0,1478,0
007063,1880,0,1880,0
008001,1024,0,1024,0
008005,361,0,361,0
008006,1892,0,1892,0
008007,708,0,708,0
008008,5986,115,6101,0
008010,1909,0,1909,0
008011,2057,2,2059,3
008016,2661,0,2661,0
008019,1210,0,1210,0
008020,818,0,818,0
008022,543,0,543,3
008027,13817,1,13818,69
008031,17675,34,17709,71
008032,388,0,388,0
008034,538,0,538,0
008037,727,0,727,0
008038,660,0,660,0
008040,911,0,911,0
008045,814,21,835,0
008046,1491,0,1491,0
008048,607,0,607,0
008050,15,0,15,0
008051,248,0,248,1
008052,4431,78,4509,8
008053,471,0,471,0
008054,1618,3,1621,1
008055,28516,0,28516,3
008056,1324,0,1324,0
008057,487,0,487,0
008058,1280,22,1302,0
008061,1021,0,1021,3
008062,906,0,906,4
008065,10539,0,10539,14
008066,205,0,205,0
008067,943,0,943,3
009002,8993,0,8993,21
009003,1402,73,1475,5
009004,5082,75,5157,18
009009,809,0,809,4
009012,1910,89,1999,26
009013,3065,60,3125,1
009015,5711,39,5750,19
009016,1489,0,1489,12
009017,1658,21,1679,4
009021,8,0,8,0
009022,3226,0,3226,18
009023,1544,0,1544,23
009027,1328,4,1332,24
009029,5705,61,5766,49
009034,4479,289,4768,17
009037,192,0,192,0
009039,510,0,510,0
009040,709,0,709,1
009041,513,0,513,0
009044,615,61,676,3
009048,8,0,8,6
009049,8686,37,8723,78
009052,6,0,6,91
009053,788,0,788,18
009054,1035,0,1035,3
009056,12647,1,12648,170
009059,876,0,876,0
009060,71,3,74,0
009061,1124,0,1124,26
009063,1380,52,1432,1
009064,2165,65,2230,35
009068,2503,0,2503,0
009069,655,0,655,0
010001,5423,0,5423,4
010011,2536,5,2541,3
010016,2403,0,2403,1
010017,7,0,7,2
010023,361,0,361,2
010025,133164,0,133164,33
010026,429,1,430,139
010031,1689,1,1690,7
010032,1326,0,1326,0
010033,1202,5,1207,2
010036,1337,0,1337,1
010042,1,0,1,1
010046,9634,442,10076,1
010050,2,0,2,1
010052,1907,138,2045,3
010054,6397,0,6397,442
010059,7996,0,7996,3
010063,1,0,1,0
011005,1395,7,1402,2
011007,837,2,839,0
011015,31514,2,31516,2
011016,5436,0,5436,0
011017,2164,2,2166,7
011020,3707,1,3708,0
011022,1540,0,1540,0
011023,2224,22,2246,0
011025,1003,0,1003,3
011026,3720,6,3726,0
011027,10244,17,10261,2
011028,2008,6,2014,9
011032,579,0,579,1
012004,2437,0,2437,1
012005,1308,4,1312,0
012006,1457,1,1458,0
012007,385,0,385,0
012008,6,0,6,1
012011,7,0,7,0
012012,1645,0,1645,1
012016,863,0,863,0
012019,1150,0,1150,0
012020,1545,0,1545,0
012023,405,1,406,1
012025,1,0,1,1
012029,2327,0,2327,4
012030,1087,0,1087,2
012031,98,0,98,1
012033,1,0,1,1
012034,3179,0,3179,1
012036,7,0,7,2
012037,98,0,98,0
012039,3051,0,3051,19
012040,24,0,24,3
012043,362,0,362,2
012045,8,0,8,6
012047,1435,0,1435,3
012050,2925,28,2953,3
012052,22,0,22,0
012054,709,0,709,1
012055,686,0,686,0
012056,374,0,374,0
012058,1999,0,1999,3
012062,22,0,22,2
012067,2098,2,2100,11
012068,1952,0,1952,17
012073,1386,0,1386,2
012074,1,0,1,6
012075,14,0,14,11
012080,758,67,825,1
012081,477,0,477,0
012082,505,0,505,0
012083,142,0,142,2
012084,2045,0,2045,0
012087,29,0,29,1
012090,3178,42,3220,8
012092,4479,0,4479,1
012096,9,0,9,0
012098,4359,0,4359,1
012101,1210,0,1210,3
012102,13,0,13,0
012103,1864,0,1864,1
012105,1191,0,1191,0
012106,168,0,168,26
012107,2035,0,2035,0
012108,5345,83,5428,0
012110,439,0,439,1
012115,389,1,390,0
012118,10919,2,10921,5
012119,5875,0,5875,2
012121,1146,0,1146,0
012122,1611,0,1611,2
012127,4371,52,4423,3
012130,1818,2,1820,13
012133,13752,0,13752,20
012136,1486,0,1486,20
012137,2032,0,2032,10
012139,5,0,5,2
012142,3006,0,3006,1
013003,1882,0,1882,0
013004,1259,0,1259,2
013007,2041,0,2041,0
013009,9,0,9,1
013010,1710,1,1711,1
013012,1370,2,1372,0
013021,2,0,2,0
013028,1728,0,1728,0
013029,539,0,539,0
013032,860,0,860,0
013034,811,0,811,1
013035,3963,0,3963,14
013036,1725,0,1725,0
013040,1,0,1,0
013041,68,0,68,8
013043,1333,0,1333,0
013045,125,0,125,1
013046,1128,1,1129,0
013047,1695,0,1695,2
013055,728,0,728,0
013062,6,0,6,0
013064,2909,2,2911,0
013065,2045,27,2072,1
013071,1,0,1,2
013075,3841,0,3841,17
013077,6,0,6,0
013083,3,0,3,1
013087,2,0,2,0
013089,1566,59,1625,1
013095,76,0,76,1
013100,25,0,25,2
013101,923,0,923,1
013102,2,0,2,1
013106,749,0,749,7
013107,2,0,2,59
013110,729,0,729,0
013111,1144,0,1144,12
013113,420,0,420,3
013120,510,0,510,0
013126,1066,0,1066,0
013131,1457,1,1458,0
013133,1772,0,1772,2
013134,21,0,21,0
013136,1579,1,1580,2
013137,7,0,7,0
013138,2242,2,2244,1
013144,853,0,853,0
013145,15,0,15,0
013152,751,0,751,1
013153,410,0,410,0
013154,1305,0,1305,0
013155,507,101,608,0
013160,2,0,2,19
013165,2556,0,2556,0
013169,600,0,600,1
013178,1,0,1,0
013183,709,0,709,1
013186,458,0,458,0
013187,2,0,2,0
013188,885,0,885,0
013189,34,0,34,0
013192,461,0,461,1
013193,399,0,399,0
013201,126,0,126,0
013204,46,0,46,2
013206,1699,0,1699,0
013207,12,0,12,0
013216,3,0,3,3
013218,351,0,351,1
013222,1616,0,1616,1
013223,1,0,1,1
013227,3921,0,3921,13
013233,3,0,3,0
013234,15,0,15,10
013238,79,0,79,0
013239,19,0,19,9
013245,1499,0,1499,1
